date,time,weather_description,temp_in_f,dewpt_in_f,humidity_in_%,pressure,precipitation_in_inches,wind_direction,wind_speed_in_mph
2018-02-23,09:00:00,Cloudy,41°F,41°F,99%,30.54,0 in.,S,0
2018-02-23,10:00:00,Cloudy,42°F,42°F,99%,30.52,0 in.,SSW,0
2018-02-23,11:00:00,Cloudy,42°F,42°F,99%,30.50,0 in.,SSW,0
2018-02-23,12:00:00,Cloudy,43°F,43°F,99%,30.48,0 in.,SW,0
2018-02-23,13:00:00,Cloudy,45°F,44°F,98%,30.41,0 in.,SW,3
2018-02-23,14:00:00,Cloudy,46°F,45°F,95%,30.39,0 in.,WSW,1
2018-02-23,15:00:00,Cloudy,47°F,45°F,93%,30.34,0 in.,WSW,0
2018-02-23,16:00:00,Cloudy,48°F,46°F,92%,30.32,0 in.,SW,0
2018-02-23,17:00:00,Partly Cloudy,49°F,46°F,90%,30.30,0 in.,WSW,0
2018-02-23,18:00:00,Clear,48°F,46°F,92%,30.29,0 in.,SW,0
2018-02-23,19:00:00,Clear,48°F,46°F,93%,30.28,0 in.,SW,0
2018-02-23,20:00:00,Clear,48°F,47°F,95%,30.27,0 in.,SW,0
2018-02-23,21:00:00,Clear,46°F,45°F,96%,30.27,0 in.,SW,0
2018-02-23,22:00:00,Clear,45°F,44°F,97%,30.24,0 in.,SW,0
2018-02-23,23:00:00,Clear,43°F,42°F,98%,30.22,0 in.,SW,0
2018-02-24,00:00:00,Clear,41°F,40°F,98%,30.21,0 in.,SW,0
2018-02-24,01:00:00,Partly Cloudy,41°F,40°F,98%,30.20,0 in.,SW,0
2018-02-24,02:00:00,Mostly Cloudy,41°F,41°F,99%,30.18,0 in.,SW,0
2018-02-24,03:00:00,Clear,41°F,41°F,99%,30.16,0 in.,SW,0
2018-02-24,04:00:00,Partly Cloudy,42°F,42°F,99%,30.14,0 in.,SW,0
2018-02-24,05:00:00,Mostly Cloudy,42°F,42°F,99%,30.14,0 in.,W,0
2018-02-24,06:00:00,Cloudy,43°F,43°F,99%,30.13,0 in.,W,0
2018-02-24,07:00:00,Cloudy,44°F,44°F,99%,30.13,0 in.,SSW,0
2018-02-24,08:00:00,Cloudy,45°F,45°F,100%,30.14,0 in.,SSW,0
2018-02-24,09:00:00,Cloudy,46°F,46°F,100%,30.14,0 in.,SSW,0
2018-02-24,10:00:00,Cloudy,48°F,48°F,100%,30.14,0 in.,ENE,0
2018-02-24,11:00:00,Cloudy,49°F,49°F,100%,30.13,0.02 in.,NW,0
2018-02-24,12:00:00,Cloudy,51°F,51°F,100%,30.13,0.01 in.,NW,0
2018-02-24,13:00:00,Cloudy,51°F,51°F,100%,30.11,0 in.,SE,0
2018-02-24,14:00:00,Cloudy,51°F,51°F,99%,30.10,0.02 in.,NE,0
2018-02-24,15:00:00,Cloudy,52°F,51°F,98%,30.09,0.03 in.,NNW,0
2018-02-24,16:00:00,Cloudy,51°F,50°F,98%,30.08,0.01 in.,NE,0
2018-02-24,17:00:00,Cloudy,51°F,50°F,98%,30.09,0.05 in.,ENE,0
2018-02-24,18:00:00,Cloudy,50°F,49°F,98%,30.11,0 in.,ESE,0
2018-02-24,19:00:00,Cloudy,49°F,48°F,98%,30.14,0.01 in.,NE,0
2018-02-24,20:00:00,Cloudy,49°F,48°F,98%,30.14,0.02 in.,ESE,0
2018-02-24,21:00:00,Cloudy,49°F,48°F,98%,30.13,0.01 in.,SE,0
2018-02-24,22:00:00,Cloudy,48°F,48°F,99%,30.12,0 in.,E,0
2018-02-24,23:00:00,Cloudy,48°F,48°F,99%,30.10,0.18 in.,SE,0
2018-02-25,00:00:00,Cloudy,48°F,48°F,99%,30.09,0.03 in.,SSE,0
2018-02-25,01:00:00,Cloudy,48°F,48°F,99%,30.07,0 in.,SSE,0
2018-02-25,02:00:00,Cloudy,47°F,47°F,99%,30.05,0.01 in.,SSE,0
2018-02-25,03:00:00,Cloudy,47°F,47°F,99%,30.02,0 in.,SSE,0
2018-02-25,04:00:00,Cloudy,47°F,47°F,100%,29.99,0.01 in.,SSE,0
2018-02-25,05:00:00,Cloudy,47°F,47°F,100%,29.97,0 in.,SSE,0
2018-02-25,06:00:00,Cloudy,47°F,47°F,100%,29.96,0 in.,SSE,0
2018-02-25,07:00:00,Cloudy,47°F,47°F,100%,29.94,0.01 in.,S,0
2018-02-25,08:00:00,Cloudy,48°F,48°F,100%,29.97,0.12 in.,SSW,0
2018-02-25,09:00:00,Cloudy,49°F,49°F,100%,29.97,0.11 in.,SE,0
2018-02-25,10:00:00,Cloudy,49°F,49°F,100%,29.96,0 in.,SE,0
2018-02-25,11:00:00,Cloudy,49°F,49°F,100%,29.91,0 in.,W,0
2018-02-25,12:00:00,Mostly Cloudy,50°F,50°F,100%,29.91,0 in.,N,0
2018-02-25,13:00:00,Partly Cloudy,51°F,51°F,100%,29.92,0 in.,E,0
2018-02-25,14:00:00,Clear,52°F,52°F,100%,29.95,0 in.,NW,0
2018-02-25,15:00:00,Mostly Cloudy,53°F,53°F,100%,29.95,0 in.,WSW,0
2018-02-25,16:00:00,Partly Cloudy,53°F,53°F,100%,29.94,0 in.,SSW,0
2018-02-25,17:00:00,Cloudy,53°F,53°F,99%,29.94,0 in.,SE,0
2018-02-25,18:00:00,Cloudy,52°F,52°F,99%,29.96,0 in.,SE,0
2018-02-25,19:00:00,Partly Cloudy,51°F,51°F,99%,29.97,0 in.,WSW,0
2018-02-25,20:00:00,Clear,50°F,50°F,99%,30.01,0 in.,WSW,0
2018-02-25,21:00:00,Mostly Cloudy,50°F,50°F,100%,30.00,0 in.,WSW,0
2018-02-25,22:00:00,Mostly Cloudy,50°F,50°F,100%,30.02,0 in.,WSW,0
2018-02-25,23:00:00,Mostly Cloudy,49°F,49°F,100%,30.03,0 in.,WSW,0
2018-02-26,00:00:00,Cloudy,49°F,49°F,100%,30.04,0 in.,WSW,0
2018-02-26,01:00:00,Clear,48°F,48°F,100%,30.04,0 in.,WSW,0
2018-02-26,02:00:00,Cloudy,48°F,48°F,100%,30.06,0 in.,WSW,0
2018-02-26,03:00:00,Clear,51°F,51°F,100%,30.06,0 in.,NW,0
2018-02-26,04:00:00,Clear,51°F,47°F,87%,30.06,0 in.,NNW,0
2018-02-26,05:00:00,Cloudy,51°F,43°F,74%,30.09,0 in.,NE,0
2018-02-26,06:00:00,Cloudy,48°F,43°F,82%,30.11,0 in.,ENE,0
2018-02-26,07:00:00,Cloudy,48°F,41°F,77%,30.13,0 in.,WSW,0
2018-02-26,08:00:00,Cloudy,48°F,42°F,80%,30.16,0 in.,SW,0
2018-02-26,09:00:00,Cloudy,49°F,42°F,78%,30.19,0 in.,ENE,3
2018-02-26,10:00:00,Cloudy,49°F,42°F,76%,30.21,0.01 in.,NE,0
2018-02-26,11:00:00,Cloudy,49°F,40°F,72%,30.20,0 in.,NE,0
2018-02-26,12:00:00,Cloudy,50°F,41°F,72%,30.22,0 in.,ESE,0
2018-02-26,13:00:00,Cloudy,51°F,42°F,70%,30.22,0 in.,NE,0
2018-02-26,14:00:00,Cloudy,52°F,41°F,65%,30.21,0 in.,N,0
2018-02-26,15:00:00,Cloudy,52°F,41°F,66%,30.20,0 in.,N,0
2018-02-26,16:00:00,Cloudy,52°F,40°F,63%,30.22,0 in.,ENE,0
2018-02-26,17:00:00,Mostly Cloudy,51°F,40°F,65%,30.22,0 in.,E,0
2018-02-26,18:00:00,Clear,49°F,37°F,62%,30.24,0 in.,ESE,0
2018-02-26,19:00:00,Clear,44°F,37°F,75%,30.26,0 in.,ESE,0
2018-02-26,20:00:00,Clear,40°F,36°F,85%,30.27,0 in.,WNW,0
2018-02-26,21:00:00,Clear,37°F,34°F,90%,30.30,0 in.,WNW,0
2018-02-26,22:00:00,Clear,35°F,33°F,91%,30.31,0 in.,W,0
2018-02-26,23:00:00,Clear,33°F,31°F,94%,30.32,0 in.,WNW,0
2018-02-27,00:00:00,Clear,32°F,31°F,95%,30.33,0 in.,WNW,0
2018-02-27,01:00:00,Clear,31°F,30°F,95%,30.35,0 in.,W,0
2018-02-27,02:00:00,Clear,31°F,30°F,95%,30.36,0 in.,NW,0
2018-02-27,03:00:00,Clear,29°F,28°F,95%,30.35,0 in.,NW,0
2018-02-27,04:00:00,Clear,30°F,29°F,95%,30.37,0 in.,WNW,0
2018-02-27,05:00:00,Clear,31°F,28°F,89%,30.38,0 in.,WNW,0
2018-02-27,06:00:00,Clear,29°F,26°F,89%,30.39,0 in.,WNW,0
2018-02-27,07:00:00,Clear,28°F,26°F,92%,30.41,0 in.,WNW,0
2018-02-27,08:00:00,Clear,31°F,29°F,93%,30.43,0 in.,SSW,0
2018-02-27,09:00:00,Clear,40°F,36°F,86%,30.45,0 in.,WSW,0
2018-02-27,10:00:00,Clear,50°F,35°F,57%,30.44,0 in.,S,0
2018-02-27,11:00:00,Clear,53°F,31°F,42%,30.45,0 in.,ESE,1
2018-02-27,12:00:00,Clear,55°F,30°F,38%,30.43,0 in.,ESE,1
2018-02-27,13:00:00,Clear,57°F,32°F,38%,30.39,0 in.,S,0
2018-02-27,14:00:00,Clear,58°F,32°F,37%,30.35,0 in.,SW,4
2018-02-27,15:00:00,Clear,59°F,32°F,36%,30.32,0 in.,S,1
2018-02-27,16:00:00,Clear,59°F,33°F,38%,30.29,0 in.,SW,1
2018-02-27,17:00:00,Clear,57°F,31°F,37%,30.27,0 in.,SW,2
2018-02-27,18:00:00,Clear,55°F,31°F,39%,30.27,0 in.,WSW,1
2018-02-27,19:00:00,Clear,52°F,30°F,43%,30.27,0 in.,WSW,0
2018-02-27,20:00:00,Clear,51°F,29°F,43%,30.26,0 in.,WSW,1
2018-02-27,21:00:00,Clear,47°F,30°F,52%,30.24,0 in.,SW,0
2018-02-27,22:00:00,Clear,46°F,30°F,53%,30.21,0 in.,SW,0
2018-02-27,23:00:00,Clear,43°F,30°F,60%,30.18,0 in.,SW,0
2018-02-28,00:00:00,Clear,42°F,31°F,65%,30.17,0 in.,WSW,0
2018-02-28,01:00:00,Clear,38°F,30°F,73%,30.17,0 in.,WSW,0
2018-02-28,02:00:00,Clear,38°F,31°F,76%,30.17,0 in.,WSW,0
2018-02-28,03:00:00,Clear,38°F,31°F,77%,30.15,0 in.,WSW,0
2018-02-28,04:00:00,Clear,38°F,32°F,80%,30.13,0 in.,WSW,0
2018-02-28,05:00:00,Clear,38°F,32°F,79%,30.13,0 in.,WSW,0
2018-02-28,06:00:00,Clear,37°F,33°F,84%,30.12,0 in.,WSW,0
2018-02-28,07:00:00,Clear,37°F,33°F,85%,30.11,0 in.,WSW,0
2018-02-28,08:00:00,Clear,37°F,34°F,89%,30.12,0 in.,W,0
2018-02-28,09:00:00,Clear,40°F,36°F,86%,30.11,0 in.,WSW,0
2018-02-28,10:00:00,Clear,46°F,38°F,72%,30.09,0 in.,ESE,0
2018-02-28,11:00:00,Clear,51°F,38°F,62%,30.07,0 in.,WSW,1
2018-02-28,12:00:00,Partly Cloudy,55°F,40°F,57%,30.06,0 in.,SW,0
2018-02-28,13:00:00,Partly Cloudy,58°F,40°F,52%,30.01,0 in.,W,5
2018-02-28,14:00:00,Cloudy,59°F,40°F,50%,29.98,0 in.,WSW,2
2018-02-28,15:00:00,Cloudy,59°F,42°F,53%,29.96,0 in.,SW,2
2018-02-28,16:00:00,Cloudy,58°F,42°F,55%,29.92,0 in.,WSW,1
2018-02-28,17:00:00,Clear,58°F,43°F,57%,29.90,0 in.,SW,1
2018-02-28,18:00:00,Clear,56°F,42°F,60%,29.92,0 in.,WSW,3
2018-02-28,19:00:00,Clear,55°F,43°F,63%,29.92,0 in.,W,4
2018-02-28,20:00:00,Mostly Cloudy,55°F,43°F,64%,29.91,0 in.,WSW,3
2018-02-28,21:00:00,Clear,54°F,44°F,69%,29.91,0 in.,SW,0
2018-02-28,22:00:00,Clear,53°F,45°F,73%,29.89,0 in.,WSW,1
2018-02-28,23:00:00,Clear,51°F,44°F,76%,29.88,0 in.,WNW,0
2018-03-01,00:00:00,Clear,50°F,44°F,80%,29.88,0 in.,W,0
2018-03-01,01:00:00,Clear,48°F,44°F,85%,29.88,0 in.,W,0
2018-03-01,02:00:00,Clear,46°F,42°F,87%,29.86,0 in.,W,0
2018-03-01,03:00:00,Clear,45°F,42°F,89%,29.85,0 in.,W,0
2018-03-01,04:00:00,Clear,45°F,42°F,89%,29.83,0 in.,W,0
2018-03-01,05:00:00,Partly Cloudy,45°F,42°F,90%,29.84,0 in.,W,0
2018-03-01,06:00:00,Cloudy,45°F,42°F,90%,29.83,0 in.,W,0
2018-03-01,07:00:00,Cloudy,45°F,43°F,91%,29.85,0 in.,WNW,0
2018-03-01,08:00:00,Cloudy,46°F,44°F,91%,29.80,0 in.,WNW,0
2018-03-01,09:00:00,Cloudy,49°F,46°F,88%,29.81,0 in.,WNW,0
2018-03-01,10:00:00,Cloudy,50°F,46°F,87%,29.81,0 in.,WNW,0
2018-03-01,11:00:00,Cloudy,50°F,48°F,93%,29.79,0.01 in.,WNW,0
2018-03-01,12:00:00,Cloudy,54°F,52°F,93%,29.77,0 in.,WNW,0
2018-03-01,13:00:00,Cloudy,56°F,50°F,79%,29.72,0 in.,ESE,0
2018-03-01,14:00:00,Cloudy,56°F,49°F,76%,29.67,0 in.,S,0
2018-03-01,15:00:00,Cloudy,56°F,49°F,76%,29.64,0 in.,SW,0
2018-03-01,16:00:00,Cloudy,55°F,49°F,80%,29.60,0 in.,WSW,0
2018-03-01,17:00:00,Cloudy,54°F,49°F,82%,29.59,0 in.,SSW,0
2018-03-01,18:00:00,Cloudy,53°F,49°F,87%,29.58,0 in.,WSW,0
2018-03-01,19:00:00,Cloudy,52°F,50°F,92%,29.55,0 in.,SW,0
2018-03-01,20:00:00,Cloudy,51°F,50°F,95%,29.53,0.03 in.,SW,0
2018-03-01,21:00:00,Cloudy,50°F,49°F,97%,29.49,0 in.,WSW,0
2018-03-01,22:00:00,Cloudy,50°F,49°F,97%,29.44,0 in.,SSE,0
2018-03-01,23:00:00,Mostly Cloudy,50°F,49°F,98%,29.44,0 in.,SSW,0
2018-03-02,00:00:00,Mostly Cloudy,51°F,38°F,61%,29.48,0 in.,WNW,0
2018-03-02,01:00:00,Mostly Cloudy,47°F,35°F,62%,29.45,0.01 in.,WSW,0
2018-03-02,02:00:00,Mostly Cloudy,46°F,32°F,58%,29.47,0 in.,SW,0
2018-03-02,04:00:00,Cloudy,43°F,30°F,59%,29.59,0 in.,NNW,11
2018-03-02,05:00:00,Cloudy,42°F,29°F,59%,29.58,0 in.,N,0
2018-03-02,12:00:00,Cloudy,45°F,28°F,52%,29.81,0 in.,NNW,0
2018-03-02,14:00:00,Mostly Cloudy,46°F,28°F,50%,29.82,0 in.,N,7
2018-03-02,15:00:00,Mostly Cloudy,47°F,29°F,49%,29.83,0 in.,NW,9
2018-03-02,16:00:00,Partly Cloudy,46°F,28°F,48%,29.85,0 in.,N,9
2018-03-02,17:00:00,Partly Cloudy,45°F,26°F,47%,29.88,0 in.,NW,0
2018-03-02,18:00:00,Clear,43°F,25°F,48%,29.93,0 in.,NE,0
2018-03-02,19:00:00,Clear,42°F,24°F,49%,29.95,0 in.,NE,0
2018-03-02,20:00:00,Clear,42°F,22°F,45%,29.96,0 in.,N,0
2018-03-02,21:00:00,Clear,41°F,21°F,44%,29.98,0 in.,N,0
2018-03-02,22:00:00,Cloudy,40°F,20°F,45%,30.01,0 in.,NNE,0
2018-03-02,23:00:00,Mostly Cloudy,39°F,21°F,48%,30.02,0 in.,NE,0
2018-03-03,00:00:00,Partly Cloudy,38°F,22°F,51%,30.02,0 in.,NNE,0
2018-03-03,01:00:00,Clear,38°F,22°F,52%,30.03,0 in.,NNE,0
2018-03-03,02:00:00,Mostly Cloudy,38°F,22°F,52%,30.04,0 in.,N,1
2018-03-03,03:00:00,Clear,37°F,22°F,53%,30.05,0 in.,N,0
2018-03-03,04:00:00,Clear,37°F,21°F,52%,30.05,0 in.,NE,2
2018-03-03,05:00:00,Clear,36°F,21°F,54%,30.07,0 in.,NNE,2
2018-03-03,06:00:00,Partly Cloudy,36°F,20°F,53%,30.08,0 in.,N,9
2018-03-03,07:00:00,Clear,37°F,21°F,52%,30.08,0 in.,N,7
2018-03-03,08:00:00,Clear,39°F,22°F,50%,30.08,0 in.,NNW,3
2018-03-03,09:00:00,Clear,42°F,22°F,45%,30.10,0 in.,NNW,3
2018-03-03,10:00:00,Partly Cloudy,45°F,24°F,44%,30.11,0 in.,N,10
2018-03-03,11:00:00,Clear,47°F,27°F,45%,30.15,0 in.,NNE,5
2018-03-03,12:00:00,Clear,48°F,28°F,45%,30.14,0 in.,NNE,5
2018-03-03,13:00:00,Clear,51°F,29°F,43%,30.14,0 in.,NNW,3
2018-03-03,14:00:00,Clear,52°F,31°F,45%,30.13,0 in.,N,2
2018-03-03,15:00:00,Clear,50°F,29°F,44%,30.12,0 in.,NE,4
2018-03-03,16:00:00,Clear,50°F,28°F,43%,30.14,0 in.,NNE,6
2018-03-03,17:00:00,Clear,49°F,28°F,43%,30.14,0 in.,NNE,3
2018-03-03,18:00:00,Clear,46°F,26°F,45%,30.16,0 in.,N,5
2018-03-03,19:00:00,Clear,45°F,26°F,47%,30.17,0 in.,E,2
2018-03-03,20:00:00,Clear,44°F,26°F,48%,30.19,0 in.,WNW,5
2018-03-03,21:00:00,Clear,42°F,26°F,53%,30.21,0 in.,NNW,2
2018-03-03,22:00:00,Clear,39°F,27°F,61%,30.22,0 in.,N,0
2018-03-03,23:00:00,Partly Cloudy,38°F,27°F,64%,30.23,0 in.,NW,0
2018-03-04,00:00:00,Cloudy,37°F,27°F,66%,30.24,0 in.,N,5
2018-03-04,01:00:00,Clear,36°F,26°F,67%,30.25,0 in.,N,0
2018-03-04,02:00:00,Cloudy,35°F,25°F,67%,30.25,0 in.,NNE,1
2018-03-04,03:00:00,Mostly Cloudy,34°F,25°F,69%,30.24,0 in.,N,0
2018-03-04,04:00:00,Clear,34°F,25°F,70%,30.24,0 in.,NW,5
2018-03-04,05:00:00,Clear,34°F,25°F,70%,30.24,0 in.,N,3
2018-03-04,06:00:00,Clear,34°F,25°F,70%,30.24,0 in.,N,1
2018-03-04,07:00:00,Clear,34°F,25°F,69%,30.24,0 in.,NNW,4
2018-03-04,08:00:00,Clear,36°F,26°F,66%,30.26,0 in.,WNW,5
2018-03-04,09:00:00,Clear,39°F,27°F,61%,30.26,0 in.,NE,2
2018-03-04,10:00:00,Clear,42°F,25°F,51%,30.26,0 in.,NE,4
2018-03-04,11:00:00,Clear,45°F,24°F,44%,30.26,0 in.,NNW,6
2018-03-04,12:00:00,Clear,47°F,23°F,39%,30.24,0 in.,NNE,5
2018-03-04,13:00:00,Clear,49°F,25°F,39%,30.21,0 in.,N,4
2018-03-04,14:00:00,Clear,51°F,25°F,36%,30.18,0 in.,N,4
2018-03-04,15:00:00,Clear,52°F,22°F,31%,30.16,0 in.,NW,5
2018-03-04,16:00:00,Clear,52°F,22°F,31%,30.15,0 in.,NE,3
2018-03-04,17:00:00,Clear,49°F,20°F,32%,30.15,0 in.,N,4
2018-03-04,18:00:00,Clear,47°F,21°F,35%,30.16,0 in.,NNW,1
2018-03-04,19:00:00,Clear,45°F,20°F,37%,30.16,0 in.,N,0
2018-03-04,20:00:00,Clear,43°F,19°F,38%,30.17,0 in.,ENE,2
2018-03-04,21:00:00,Clear,42°F,20°F,41%,30.18,0 in.,NE,1
2018-03-04,22:00:00,Clear,40°F,18°F,41%,30.18,0 in.,N,2
2018-03-04,23:00:00,Clear,39°F,17°F,40%,30.19,0 in.,SSW,0
2018-03-05,00:00:00,Clear,38°F,14°F,37%,30.19,0 in.,N,4
2018-03-05,01:00:00,Clear,36°F,13°F,38%,30.20,0 in.,NE,3
2018-03-05,02:00:00,Clear,34°F,12°F,40%,30.19,0 in.,E,2
2018-03-05,03:00:00,Clear,32°F,13°F,45%,30.19,0 in.,NNW,1
2018-03-05,04:00:00,Clear,30°F,15°F,52%,30.19,0 in.,N,0
2018-03-05,05:00:00,Clear,30°F,14°F,51%,30.18,0 in.,ENE,0
2018-03-05,06:00:00,Clear,30°F,15°F,54%,30.17,0 in.,N,2
2018-03-05,07:00:00,Clear,30°F,15°F,52%,30.15,0 in.,N,3
2018-03-05,08:00:00,Clear,32°F,15°F,49%,30.16,0 in.,WSW,1
2018-03-05,09:00:00,Clear,35°F,15°F,44%,30.18,0 in.,NNW,0
2018-03-05,10:00:00,Clear,38°F,18°F,43%,30.18,0 in.,NNW,4
2018-03-05,11:00:00,Clear,41°F,21°F,44%,30.16,0 in.,N,2
2018-03-05,12:00:00,Clear,44°F,22°F,42%,30.14,0 in.,NNE,4
2018-03-05,13:00:00,Clear,45°F,22°F,39%,30.10,0 in.,NE,6
2018-03-05,14:00:00,Clear,47°F,23°F,39%,30.07,0 in.,NE,4
2018-03-05,15:00:00,Clear,48°F,23°F,37%,30.06,0 in.,E,1
2018-03-05,16:00:00,Clear,48°F,22°F,36%,30.05,0 in.,E,0
2018-03-05,17:00:00,Clear,46°F,22°F,38%,30.05,0 in.,N,0
2018-03-05,18:00:00,Clear,43°F,22°F,42%,30.06,0 in.,NNE,0
2018-03-05,19:00:00,Clear,40°F,21°F,47%,30.06,0 in.,N,0
2018-03-05,20:00:00,Clear,37°F,20°F,51%,30.08,0 in.,N,0
2018-03-05,21:00:00,Clear,34°F,21°F,59%,30.08,0 in.,N,0
2018-03-05,22:00:00,Clear,32°F,21°F,64%,30.08,0 in.,NNW,0
2018-03-05,23:00:00,Clear,28°F,22°F,77%,30.08,0 in.,NW,0
2018-03-06,00:00:00,Clear,28°F,21°F,75%,30.08,0 in.,NW,0
2018-03-06,01:00:00,Clear,26°F,20°F,79%,30.08,0 in.,NW,0
2018-03-06,02:00:00,Clear,26°F,21°F,80%,30.06,0 in.,NW,0
2018-03-06,03:00:00,Clear,25°F,21°F,83%,30.04,0 in.,NW,0
2018-03-06,04:00:00,Clear,25°F,21°F,85%,30.03,0 in.,NW,0
2018-03-06,05:00:00,Partly Cloudy,27°F,23°F,84%,30.03,0 in.,NW,0
2018-03-06,06:00:00,Mostly Cloudy,28°F,24°F,84%,30.03,0 in.,NW,0
2018-03-06,07:00:00,Cloudy,30°F,26°F,83%,30.04,0 in.,NW,0
2018-03-06,08:00:00,Cloudy,31°F,26°F,82%,30.04,0 in.,NW,0
2018-03-06,09:00:00,Cloudy,35°F,27°F,72%,30.02,0 in.,WSW,0
2018-03-06,10:00:00,Cloudy,37°F,27°F,67%,29.99,0 in.,SSW,0
2018-03-06,11:00:00,Cloudy,39°F,28°F,64%,29.96,0 in.,SSE,0
2018-03-06,12:00:00,Cloudy,43°F,28°F,55%,29.95,0 in.,W,5
2018-03-06,13:00:00,Cloudy,42°F,26°F,52%,29.92,0 in.,SSW,4
2018-03-06,14:00:00,Cloudy,42°F,27°F,55%,29.90,0 in.,W,1
2018-03-06,15:00:00,Cloudy,42°F,29°F,61%,29.88,0 in.,SW,2
2018-03-06,16:00:00,Cloudy,42°F,29°F,60%,29.87,0 in.,SW,0
2018-03-06,17:00:00,Cloudy,42°F,30°F,62%,29.85,0 in.,SW,2
2018-03-06,18:00:00,Cloudy,41°F,31°F,68%,29.84,0 in.,SW,0
2018-03-06,19:00:00,Cloudy,40°F,31°F,71%,29.84,0 in.,WSW,3
2018-03-06,20:00:00,Cloudy,38°F,34°F,84%,29.82,0 in.,W,0
2018-03-06,21:00:00,Cloudy,38°F,35°F,89%,29.82,0.01 in.,W,0
2018-03-06,22:00:00,Cloudy,37°F,35°F,94%,29.80,0 in.,W,0
2018-03-06,23:00:00,Cloudy,36°F,35°F,95%,29.79,0 in.,W,0
2018-03-07,00:00:00,Cloudy,36°F,35°F,95%,29.78,0 in.,W,0
2018-03-07,01:00:00,Cloudy,36°F,35°F,96%,29.78,0 in.,W,0
2018-03-07,02:00:00,Cloudy,36°F,35°F,96%,29.77,0 in.,S,0
2018-03-07,03:00:00,Cloudy,36°F,35°F,96%,29.73,0 in.,S,0
2018-03-07,04:00:00,Cloudy,35°F,34°F,97%,29.71,0 in.,ESE,0
2018-03-07,05:00:00,Cloudy,36°F,35°F,97%,29.71,0 in.,WNW,0
2018-03-07,06:00:00,Cloudy,35°F,34°F,97%,29.70,0 in.,NW,0
2018-03-07,07:00:00,Cloudy,35°F,34°F,97%,29.69,0 in.,ENE,0
2018-03-07,08:00:00,Cloudy,36°F,35°F,97%,29.69,0 in.,ESE,0
2018-03-07,09:00:00,Cloudy,38°F,37°F,95%,29.69,0 in.,N,0
2018-03-07,10:00:00,Cloudy,41°F,38°F,89%,29.70,0 in.,NW,0
2018-03-07,11:00:00,Cloudy,43°F,39°F,85%,29.68,0 in.,NNE,0
2018-03-07,12:00:00,Cloudy,47°F,40°F,76%,29.67,0 in.,N,0
2018-03-07,13:00:00,Mostly Cloudy,47°F,39°F,73%,29.67,0 in.,NNW,4
2018-03-07,14:00:00,Mostly Cloudy,48°F,37°F,65%,29.65,0 in.,WNW,6
2018-03-07,15:00:00,Cloudy,49°F,34°F,55%,29.66,0.01 in.,N,6
2018-03-07,16:00:00,Partly Cloudy,50°F,35°F,55%,29.69,0 in.,NNE,5
2018-03-07,17:00:00,Mostly Cloudy,47°F,29°F,50%,29.72,0 in.,WSW,3
2018-03-07,18:00:00,Clear,44°F,28°F,53%,29.76,0 in.,WNW,0
2018-03-07,19:00:00,Mostly Cloudy,42°F,26°F,53%,29.79,0 in.,W,0
2018-03-07,20:00:00,Cloudy,42°F,27°F,55%,29.82,0 in.,NNE,3
2018-03-07,21:00:00,Mostly Cloudy,40°F,26°F,57%,29.84,0 in.,WSW,3
2018-03-07,22:00:00,Clear,39°F,23°F,53%,29.86,0 in.,N,0
2018-03-07,23:00:00,Cloudy,38°F,22°F,52%,29.86,0 in.,NNW,2
2018-03-08,00:00:00,Cloudy,37°F,22°F,53%,29.85,0 in.,N,1
2018-03-08,01:00:00,Mostly Cloudy,36°F,20°F,52%,29.86,0 in.,NNW,0
2018-03-08,02:00:00,Clear,35°F,20°F,54%,29.85,0 in.,WSW,1
2018-03-08,03:00:00,Clear,34°F,19°F,53%,29.85,0 in.,NW,1
2018-03-08,04:00:00,Clear,34°F,20°F,55%,29.84,0 in.,NW,0
2018-03-08,05:00:00,Clear,31°F,18°F,59%,29.85,0 in.,WNW,0
2018-03-08,06:00:00,Clear,32°F,20°F,60%,29.85,0 in.,WNW,0
2018-03-08,07:00:00,Clear,32°F,20°F,60%,29.86,0 in.,NNW,0
2018-03-08,08:00:00,Clear,35°F,20°F,55%,29.86,0 in.,N,5
2018-03-08,09:00:00,Clear,37°F,22°F,53%,29.85,0 in.,NNW,5
2018-03-08,10:00:00,Mostly Cloudy,37°F,22°F,53%,29.85,0 in.,NNW,2
2018-03-08,11:00:00,Cloudy,39°F,20°F,46%,29.83,0 in.,WSW,1
2018-03-08,12:00:00,Mostly Cloudy,39°F,20°F,46%,29.82,0 in.,NW,4
2018-03-08,13:00:00,Cloudy,42°F,21°F,43%,29.78,0 in.,SW,2
2018-03-08,14:00:00,Cloudy,42°F,21°F,43%,29.77,0 in.,WNW,2
2018-03-08,15:00:00,Cloudy,44°F,21°F,39%,29.75,0 in.,WSW,4
2018-03-08,16:00:00,Mostly Cloudy,42°F,22°F,44%,29.76,0 in.,NW,2
2018-03-08,17:00:00,Cloudy,39°F,26°F,58%,29.78,0 in.,WSW,3
2018-03-08,18:00:00,Clear,38°F,19°F,45%,29.79,0 in.,W,0
2018-03-08,19:00:00,Cloudy,36°F,19°F,49%,29.82,0 in.,NNW,0
2018-03-08,20:00:00,Cloudy,34°F,24°F,65%,29.85,0 in.,NNW,1
2018-03-08,21:00:00,Partly Cloudy,33°F,20°F,59%,29.85,0 in.,NNW,1
